"구분(1)",구분(2),구분(3),구분(4),2020,2021
"대구",재활용 가능자원 분리배출,영농폐기물,농약용기류,0.0,3.0
"대구",재활용 가능자원 분리배출,영농폐기물,폐비닐,393.4,492.1
"대구",재활용 가능자원 분리배출,폐식용유,소계,614.4,802.5
"대구",재활용 가능자원 분리배출,폐전기전자제품,소계,5612.9,3372.3
"대구",재활용 가능자원 분리배출,폐가구류,소계,5433.4,11022.9
"대구",재활용 가능자원 분리배출,기타,소계,7039.1,3632.7
"대구",재활용 가능자원 분리배출,재활용 잔재물,소계,53896.8,31402.2
"대구",음식물류 폐기물 분리배출,소계,소계,219889.4,221390.0
"인천",합계,소계,소계,731850.7,843308.0
"인천",종량제방식 등 혼합배출,소계,소계,368460.1,388259.4
"인천",종량제방식 등 혼합배출,가연성,소계,340755.0,358569.9
"인천",종량제방식 등 혼합배출,가연성,폐지류,79839.0,71376.6
"인천",종량제방식 등 혼합배출,가연성,폐합성수지류,67381.9,68765.5
"인천",종량제방식 등 혼합배출,가연성,폐고무류,2263.1,2162.2
"인천",종량제방식 등 혼합배출,가연성,폐섬유류,16090.2,15545.2
"인천",종량제방식 등 혼합배출,가연성,음식물류 폐기물,23670.1,22406.3
"인천",종량제방식 등 혼합배출,가연성,폐목재류,16846.3,34920.9
"인천",종량제방식 등 혼합배출,가연성,기타,134664.4,143393.2
"인천",종량제방식 등 혼합배출,불연성,소계,27166.9,26184.9
"인천",종량제방식 등 혼합배출,불연성,폐금속류,6200.6,5318.6
"인천",종량제방식 등 혼합배출,불연성,폐유리류,7043.2,8165.1
"인천",종량제방식 등 혼합배출,불연성,폐토사류,2588.8,1255.9
"인천",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,1112.3,1448.7
"인천",종량제방식 등 혼합배출,불연성,연탄재,460.9,156.8
"인천",종량제방식 등 혼합배출,불연성,기타,9761.1,9839.8
"인천",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),198.8,604.4
"인천",종량제방식 등 혼합배출,기타(배출불명등),소계,339.4,2900.2
"인천",재활용 가능자원 분리배출,소계,소계,134786.1,226926.9
"인천",재활용 가능자원 분리배출,폐지류,종이팩,135.0,280.4
"인천",재활용 가능자원 분리배출,폐지류,기타,32662.0,74072.4
"인천",재활용 가능자원 분리배출,고철류,소계,3193.6,6294.9
